Species,species_numeric,measurement_type,measurement_value
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,4.9
Iris-setosa,0,SepalLengthCm,4.7
Iris-setosa,0,SepalLengthCm,4.6
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,5.4
Iris-setosa,0,SepalLengthCm,4.6
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,4.4
Iris-setosa,0,SepalLengthCm,4.9
Iris-setosa,0,SepalLengthCm,5.4
Iris-setosa,0,SepalLengthCm,4.8
Iris-setosa,0,SepalLengthCm,4.8
Iris-setosa,0,SepalLengthCm,4.3
Iris-setosa,0,SepalLengthCm,5.8
Iris-setosa,0,SepalLengthCm,5.7
Iris-setosa,0,SepalLengthCm,5.4
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,5.7
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,5.4
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,4.6
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,4.8
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,5.2
Iris-setosa,0,SepalLengthCm,5.2
Iris-setosa,0,SepalLengthCm,4.7
Iris-setosa,0,SepalLengthCm,4.8
Iris-setosa,0,SepalLengthCm,5.4
Iris-setosa,0,SepalLengthCm,5.2
Iris-setosa,0,SepalLengthCm,5.5
Iris-setosa,0,SepalLengthCm,4.9
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,5.5
Iris-setosa,0,SepalLengthCm,4.9
Iris-setosa,0,SepalLengthCm,4.4
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,4.5
Iris-setosa,0,SepalLengthCm,4.4
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,4.8
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,4.6
Iris-setosa,0,SepalLengthCm,5.3
Iris-setosa,0,SepalLengthCm,5.0
Iris-versicolor,1,SepalLengthCm,7.0
Iris-versicolor,1,SepalLengthCm,6.4
